tweet,label
Not worth it,negative
Very bad experience,negative
It's okay,neutral
So happy with this,positive
Best experience ever,positive
Worst service,negative
Just normal,neutral
I hate this,negative
Nothing special,neutral
Worst service,negative
Best experience ever,positive
I hate this,negative
I love this!,positive
Not worth it,negative
Absolutely fantastic,positive
Absolutely fantastic,positive
I hate this,negative
Not worth it,negative
It's okay,neutral
Amazing product,positive
Fine but not great,neutral
Not worth it,negative
Absolutely fantastic,positive
It's okay,neutral
I hate this,negative
Worst service,negative
Absolutely fantastic,positive
Best experience ever,positive
Terrible product,negative
So happy with this,positive
Best experience ever,positive
I hate this,negative
Not worth it,negative
Very bad experience,negative
Amazing product,positive
Nothing special,neutral
It's okay,neutral
I hate this,negative
Absolutely fantastic,positive
Just normal,neutral
Not worth it,negative
So happy with this,positive
Average experience,neutral
Worst service,negative
I hate this,negative
Best experience ever,positive
Fine but not great,neutral
Absolutely fantastic,positive
Amazing product,positive
Absolutely fantastic,positive
Just normal,neutral
I hate this,negative
Nothing special,neutral
I hate this,negative
Not worth it,negative
So happy with this,positive
I love this!,positive
So happy with this,positive
Not worth it,negative
Average experience,neutral
Nothing special,neutral
Best experience ever,positive
I hate this,negative
Just normal,neutral
Absolutely fantastic,positive
Worst service,negative
Amazing product,positive
I hate this,negative
Very bad experience,negative
I love this!,positive
Nothing special,neutral
Best experience ever,positive
Nothing special,neutral
Average experience,neutral
Worst service,negative
Best experience ever,positive
So happy with this,positive
Best experience ever,positive
Nothing special,neutral
Best experience ever,positive
Nothing special,neutral
Average experience,neutral
It's okay,neutral
Absolutely fantastic,positive
I love this!,positive
Fine but not great,neutral
Very bad experience,negative
I love this!,positive
Terrible product,negative
Terrible product,negative
I hate this,negative
Nothing special,neutral
Absolutely fantastic,positive
I hate this,negative
I love this!,positive
So happy with this,positive
So happy with this,positive
Not worth it,negative
Just normal,neutral
I hate this,negative
Not worth it,negative
I love this!,positive
Amazing product,positive
I hate this,negative
Just normal,neutral
Fine but not great,neutral
So happy with this,positive
Just normal,neutral
Worst service,negative
Just normal,neutral
So happy with this,positive
I hate this,negative
Just normal,neutral
So happy with this,positive
Absolutely fantastic,positive
So happy with this,positive
I love this!,positive
Absolutely fantastic,positive
Nothing special,neutral
I hate this,negative
Very bad experience,negative
Amazing product,positive
It's okay,neutral
So happy with this,positive
I hate this,negative
